iter	Passed	Remaining
440	1279	1622
441	1286	1623
442	1288	1619
443	1290	1615
444	1293	1612
445	1296	1610
446	1298	1606
447	1300	1602
448	1305	1601
449	1308	1599
450	1311	1596
451	1314	1593
452	1317	1590
453	1320	1588
454	1323	1585
455	1327	1583
456	1331	1581
457	1333	1577
458	1337	1576
459	1339	1572
460	1341	1568
461	1343	1564
462	1346	1561
463	1348	1558
464	1350	1554
465	1352	1550
466	1355	1546
467	1358	1544
468	1361	1541
469	1364	1538
470	1368	1537
471	1371	1534
472	1374	1531
473	1376	1527
474	1378	1523
475	1381	1520
476	1383	1516
477	1386	1513
478	1390	1512
479	1393	1509
480	1395	1505
481	1398	1502
482	1400	1498
483	1402	1495
484	1404	1491
485	1406	1487
486	1410	1485
487	1412	1482
488	1415	1478
489	1417	1475
490	1420	1472
491	1422	1468
492	1425	1465
493	1428	1463
494	1431	1460
495	1434	1457
496	1437	1454
497	1441	1452
498	1443	1449
499	1445	1445
500	1448	1442
501	1451	1439
502	1453	1436
503	1456	1433
504	1458	1429
505	1461	1427
506	1464	1423
507	1466	1420
508	1468	1416
509	1470	1413
510	1473	1410
511	1475	1406
512	1478	1403
513	1482	1401
514	1486	1399
515	1489	1396
516	1491	1392
517	1493	1390
518	1496	1387
519	1499	1384
520	1502	1381
521	1506	1379
522	1509	1376
523	1511	1373
524	1515	1370
525	1517	1367
526	1519	1364
527	1522	1361
528	1526	1359
529	1529	1356
530	1531	1352
531	1533	1349
532	1536	1345
533	1539	1343
534	1541	1340
535	1544	1336
536	1550	1336
537	1553	1334
538	1558	1332
539	1561	1330
540	1564	1327
541	1567	1324
542	1571	1322
543	1573	1319
544	1576	1316
545	1580	1314
546	1583	1311
547	1586	1308
548	1588	1305
549	1591	1302
550	1594	1299
551	1597	1296
552	1600	1293
553	1603	1291
554	1606	1287
555	1611	1287
556	1615	1284
557	1617	1281
558	1620	1278
559	1623	1275
560	1625	1272
561	1627	1268
562	1631	1266
563	1633	1262
564	1636	1259
565	1638	1256
566	1642	1253
567	1645	1251
568	1648	1248
569	1651	1246
570	1654	1243
571	1657	1240
572	1660	1237
573	1664	1235
574	1667	1232
575	1669	1229
576	1672	1226
577	1675	1223
578	1677	1219
579	1680	1216
580	1683	1214
581	1686	1210
582	1688	1208
583	1692	1205
584	1694	1202
585	1697	1199
586	1699	1195
587	1702	1192
588	1705	1190
589	1708	1187
590	1711	1184
591	1713	1180
592	1715	1177
593	1718	1174
594	1721	1171
595	1723	1168
596	1726	1165
597	1730	1163
598	1732	1160
599	1735	1157
600	1738	1153
601	1740	1150
602	1742	1147
603	1745	1144
604	1748	1141
605	1750	1138
606	1753	1135
607	1756	1132
608	1759	1129
609	1762	1126
610	1765	1124
611	1768	1120
612	1770	1117
613	1772	1114
614	1774	1111
615	1778	1108
616	1781	1105
617	1784	1102
618	1787	1100
619	1790	1097
620	1792	1094
621	1795	1090
622	1797	1088
623	1800	1084
624	1802	1081
625	1805	1078
626	1807	1075
627	1810	1072
628	1812	1068
629	1814	1065
630	1816	1062
631	1820	1060
632	1825	1058
633	1827	1055
634	1830	1052
635	1832	1048
636	1835	1045
637	1837	1042
638	1840	1039
639	1842	1036
640	1845	1033
641	1847	1030
642	1851	1027
643	1855	1025
644	1858	1023
645	1861	1020
646	1863	1016
647	1865	1013
648	1868	1010
649	1871	1007
650	1874	1005
651	1877	1001
652	1879	998
653	1882	995
654	1884	992
655	1887	989
656	1890	986
657	1893	984
658	1895	980
659	1897	977
660	1900	974
661	1902	971
662	1904	968
663	1907	965
664	1910	962
665	1913	959
666	1915	956
667	1918	953
668	1920	950
669	1923	947
670	1925	943
671	1927	940
672	1929	937
673	1933	934
674	1936	932
675	1938	929
676	1941	926
677	1944	923
678	1948	921
679	1954	919
680	1957	916
681	1959	913
682	1962	910
683	1965	908
684	1969	905
685	1972	902
686	1975	899
687	1978	897
688	1980	894
689	1983	890
690	1985	887
691	1987	884
692	1990	881
693	1992	878
694	1995	875
695	1998	872
696	2000	869
697	2003	866
698	2005	863
699	2008	860
700	2011	858
701	2014	855
702	2016	851
703	2018	848
704	2021	845
705	2023	842
706	2026	839
707	2030	837
708	2033	834
709	2036	831
710	2042	830
711	2044	827
712	2047	824
713	2049	820
714	2051	817
715	2054	814
716	2056	811
717	2058	808
718	2062	805
719	2064	802
720	2067	800
721	2070	797
722	2074	794
723	2077	792
724	2080	789
725	2086	787
726	2088	784
727	2091	781
728	2095	778
729	2098	776
730	2100	773
731	2105	770
732	2107	767
733	2110	764
734	2112	761
735	2115	758
736	2118	755
737	2120	752
738	2124	750
739	2126	747
740	2129	744
741	2132	741
742	2135	738
743	2138	735
744	2141	733
745	2145	730
746	2148	727
747	2151	724
748	2153	721
749	2157	719
750	2160	716
751	2162	713
752	2166	710
753	2169	707
754	2172	704
755	2175	702
756	2178	699
757	2181	696
758	2184	693
759	2188	691
760	2191	688
761	2194	685
762	2197	682
763	2200	679
764	2203	676
765	2206	674
766	2209	671
767	2212	668
768	2216	665
769	2219	662
770	2221	659
771	2224	657
772	2227	654
773	2229	651
774	2232	648
775	2236	645
776	2238	642
777	2241	639
778	2244	636
779	2247	633
780	2250	631
781	2252	628
782	2256	625
783	2260	622
784	2263	619
785	2267	617
786	2270	614
787	2272	611
788	2274	608
789	2277	605
790	2280	602
791	2283	599
792	2285	596
793	2288	593
794	2291	590
795	2294	587
796	2296	584
797	2299	582
798	2304	579
799	2306	576
800	2309	573
801	2312	570
802	2314	567
803	2317	565
804	2321	562
805	2324	559
806	2326	556
807	2329	553
808	2332	550
809	2335	547
810	2338	544
811	2341	542
812	2343	539
813	2345	536
814	2348	532
815	2351	530
816	2353	527
817	2355	524
818	2359	521
819	2361	518
820	2364	515
821	2366	512
822	2369	509
823	2373	506
824	2375	503
825	2377	500
826	2380	497
827	2382	494
828	2384	491
829	2387	488
830	2389	485
831	2392	483
832	2394	479
833	2396	476
834	2398	473
835	2400	470
836	2403	467
837	2405	464
838	2406	461
839	2409	458
840	2411	455
841	2414	453
842	2420	450
843	2424	448
844	2426	445
845	2428	442
846	2431	439
847	2436	436
848	2438	433
849	2441	430
850	2445	428
851	2447	425
852	2449	422
853	2451	419
854	2454	416
855	2456	413
856	2458	410
857	2461	407
858	2463	404
859	2466	401
860	2468	398
861	2470	395
862	2472	392
863	2475	389
864	2477	386
865	2481	384
866	2484	381
867	2486	378
868	2489	375
869	2492	372
870	2495	369
871	2498	366
872	2501	363
873	2503	360
874	2506	358
875	2508	355
876	2511	352
877	2513	349
878	2515	346
879	2517	343
880	2520	340
881	2522	337
882	2524	334
883	2526	331
