iter	Logloss
0	0.6901191125
1	0.6859312791
2	0.682850823
3	0.6794800392
4	0.6758245028
5	0.6725230877
6	0.6686259343
7	0.665813446
8	0.6634948144
9	0.6599886381
10	0.6567409809
11	0.6534488385
12	0.6507197453
13	0.6479795603
14	0.6458213219
15	0.6429756751
16	0.6407240648
17	0.6376640907
18	0.6348768968
19	0.6318888151
20	0.628097006
21	0.6253725492
22	0.6223651593
23	0.6198559688
24	0.6171593299
25	0.6137062073
26	0.6115894024
27	0.6089865464
28	0.6074225793
29	0.6043677697
30	0.6011856079
31	0.5980885432
32	0.5961316622
33	0.5937916682
34	0.591472567
35	0.5888326205
36	0.5867418142
37	0.5845457811
38	0.5823965219
39	0.5804229149
40	0.5773421654
41	0.5748012836
42	0.5728090726
43	0.5696836031
44	0.5663497338
45	0.5642014137
46	0.5618975713
47	0.559508221
48	0.5575667161
49	0.5554858868
50	0.5534471365
51	0.5513264583
52	0.5485457787
53	0.5462539673
54	0.5437698364
55	0.5411243732
56	0.5388825637
57	0.5374758207
58	0.5358073308
59	0.5335173387
60	0.5309429462
61	0.5293187068
62	0.5263634315
63	0.5248024574
64	0.5228665865
65	0.5210261418
66	0.5189973684
67	0.5175153879
68	0.5157298161
69	0.5143837562
70	0.5125338041
71	0.5109336266
72	0.5091799223
73	0.5070244422
74	0.5053977379
75	0.5034779475
76	0.5011336107
77	0.4997826209
78	0.4977827806
79	0.4957652752
80	0.4935183012
81	0.491463089
82	0.4893613375
83	0.4877099551
84	0.4859350058
85	0.484003155
86	0.4821057833
87	0.4807157076
88	0.479045281
89	0.4774558434
90	0.4763493758
91	0.4748677767
92	0.473335002
93	0.4715324402
94	0.4699707618
95	0.468561642
96	0.467441148
97	0.4663183066
98	0.4647034278
99	0.4638052427
100	0.4622927446
101	0.4609762045
102	0.459828949
103	0.4582548582
104	0.4570443373
105	0.4552073845
106	0.4540305211
107	0.4529309493
108	0.4506555704
109	0.4491830386
110	0.4480464642
111	0.4463048495
112	0.444758606
113	0.4435507554
114	0.4419333238
115	0.4404737619
116	0.4390963628
117	0.4379558857
118	0.4365859985
119	0.4355574975
120	0.4341828273
121	0.4331863403
122	0.43179245
123	0.4299460191
124	0.428495143
125	0.4271495819
126	0.4259414086
127	0.42468875
128	0.4229448172
129	0.421768746
130	0.4203227703
131	0.4187898196
132	0.4172979795
133	0.4160404499
134	0.4151063479
135	0.4139359694
136	0.4127449916
137	0.4114208515
138	0.4101781992
139	0.4091618758
140	0.4081481347
141	0.4067951202
142	0.4051801828
143	0.404106815
144	0.4028353471
145	0.4018179087
146	0.4009549654
147	0.399600924
148	0.398432717
149	0.3971148858
150	0.3959132855
151	0.395327524
152	0.3941557371
153	0.3930188106
154	0.3918003082
155	0.390531716
156	0.3896104666
157	0.3885767423
158	0.3872104058
159	0.3861282936
160	0.3850328299
161	0.3839897743
162	0.3830761249
163	0.3817908654
164	0.3809081444
165	0.3798335736
166	0.3789767926
167	0.3781660227
168	0.3772573031
169	0.3762137193
170	0.3754044753
171	0.3742701017
172	0.3733692756
173	0.3720262381
174	0.3713709318
175	0.3706547664
176	0.3699384249
177	0.3690721365
178	0.3682172922
179	0.3674927345
180	0.3664744744
181	0.3656459808
182	0.3643275921
183	0.3632129376
184	0.3619468689
185	0.3607616131
186	0.360345547
187	0.3596694653
188	0.3586448376
189	0.3574119274
190	0.3566016564
191	0.3556262677
192	0.3550149477
193	0.353768334
194	0.3526898311
195	0.3513106126
196	0.3503702017
197	0.3495922089
198	0.3487435854
199	0.347754053
200	0.347231058
201	0.346026758
202	0.3450423901
203	0.3442443261
204	0.3436102647
205	0.3424954341
206	0.3413658436
207	0.3404921605
208	0.339673057
209	0.3387979654
210	0.3379265418
211	0.3370203458
212	0.3359122056
213	0.3346988385
214	0.3336372962
215	0.3328775259
216	0.3317513099
217	0.3311164856
218	0.3300359873
219	0.3290955764
220	0.328358929
221	0.3278996394
222	0.3271953876
223	0.3263625512
224	0.3260292053
225	0.3255571219
226	0.3249456259
227	0.3242715689
228	0.3233075069
229	0.3228656475
230	0.3221912091
231	0.3213618645
232	0.320876547
233	0.3200462048
234	0.3192199414
235	0.3185930105
236	0.3178617918
237	0.3174014752
238	0.3167051755
239	0.3160796826
240	0.315105761
241	0.314478214
242	0.3135255373
243	0.3127510071
244	0.3121101379
245	0.311247899
246	0.3104309669
247	0.3096584907
248	0.3089431176
249	0.3083381653
250	0.3072628902
251	0.3066541525
252	0.3057129493
253	0.3049732208
254	0.3042680007
255	0.3034402701
256	0.3022986779
257	0.3017473954
258	0.3013010759
259	0.3007478567
260	0.3000479478
261	0.2989682418
262	0.2982401921
263	0.2979530921
264	0.2975694803
265	0.2965354333
266	0.2958491399
267	0.294862131
268	0.2942847032
269	0.2935983805
270	0.2929093581
271	0.2921317761
272	0.2916163518
273	0.2909740448
274	0.2904425988
275	0.2896212945
276	0.2891305777
277	0.2885088701
278	0.2876181969
279	0.2871091109
280	0.2866732671
281	0.2861655602
282	0.2856892219
283	0.2850080637
284	0.2845749195
285	0.2838085175
286	0.2831653888
287	0.2825798622
288	0.2820115309
289	0.2815397996
290	0.2809166541
291	0.2804485908
292	0.2795563918
293	0.2786467332
294	0.2781448071
295	0.2776246584
296	0.2772367037
297	0.2764584175
298	0.275945282
299	0.2755135756
300	0.2749685141
301	0.2747114915
302	0.2742597727
303	0.2735785851
304	0.2726546067
305	0.2721407083
306	0.2715449407
307	0.2713709905
308	0.2707847595
309	0.2701193589
310	0.269543457
311	0.268963447
312	0.2687306918
313	0.2681195773
314	0.2674610725
315	0.2671268463
316	0.2665863037
317	0.2660961445
318	0.2652365464
319	0.2648863279
320	0.264233105
321	0.2635167929
322	0.2627128014
323	0.2620132153
324	0.2613645113
325	0.2605796227
326	0.260075261
327	0.2596473107
328	0.2592157804
329	0.258456773
330	0.2577897292
331	0.25701828
332	0.2565618075
333	0.2561275189
334	0.2556913523
335	0.2550506885
336	0.2545997913
337	0.2536889296
338	0.2530573918
339	0.2523780236
340	0.2516484481
341	0.250933075
342	0.2504786565
343	0.2500744453
344	0.2496572054
345	0.2490298638
346	0.248669639
347	0.247998487
348	0.2473433274
349	0.2469099485
350	0.2463677333
351	0.2460174561
352	0.2452486478
353	0.2446581474
354	0.2442101699
355	0.2439062119
356	0.2434475385
357	0.2430011016
358	0.2426953683
359	0.2419235523
360	0.2415103619
361	0.241151619
362	0.2406263938
363	0.2403250768
364	0.2399577508
